Movie Title,Ratinng,genre,act,Plot
Dil Chahta Hai,8.1,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan, Suchitra Pillai, Anjula Bedi, Rakesh Pandey, Samantha Tremayne, Claire, Clarence, Asad Dadarkar, Bomi Doctor","youth, told in flashback, love, goa india, nostalgia, directorial debut, vacation, male bonding, sydney australia, friendship between men, memory, dating, reunion of friends, boyfriend girlfriend relationship, older woman younger man relationship, end of friendship, art gallery, painter, friendship, man slaps a man, divorcee, confession of love, happiness, indian abroad, unrequited love, airplane, father son relationship, weeping, breakup, birthday party, prank, fiance fiancee relationship, punched in the face, apology, alcoholic, melancholy, three word title, time lapse photography, visual metaphor, cirrhosis, irresponsibility, coming of age, subway station, roller coaster, painting, nightclub, opera, immaturity, throwing paint on someone, shallowness, selfishness, wristwatch, sand, grief, bound and gagged, airport, death, flashback, hospital, bare chested male, restaurant, mother son relationship, insult, beach, flirting, robbery, black eye, wealth, chance meeting, symbolism, second chance, canvas painting, friendship gone bad, voice over narration, restlessness, loneliness, finger painting, serendipity, fate, coincidence, hitchhiking, practicality, ensemble cast, television, swimming pool, subway, subway train, spoof, song, hotel, holiday, engagement, businessman, business suit, art exhibition, shakespeare's troilus and cressida, age difference"
Zindagi Na Milegi Dobara,8.1,"Comedy, Drama, Musical","Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif, Kalki Koechlin, Ariadna Cabrol, Naseeruddin Shah, Deepti Naval, Supreet Bedi, Anisa Butt, Juan Jose Amador, Aashrita Kamath, Lolo Herrero, Barbara Holzer, Ravi Khemu, Pino Losada, Raaghavv Chanana, Anuradha Chandan","spain, underwater scene, bollywood musical, bare chested male, vacation, three friends, f rated, title directed by female, travel, philosophical, coming of age, dancing, bullfighting, bachelor party, engagement, misunderstanding, ring, fiance fiancee relationship, possessiveness, absent father, overcoming fear, fear, poet, poetry, self discovery, scuba diving, skydiving, workaholic, yuppie, friendship between men, road movie, male bonding, friendship"
Dilwale Dulhania Le Jayenge,8.0,"Drama, Romance","Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher, Parmeet Sethi, Mandira Bedi, Satish Shah, Himani Shivpuri, Pooja Ruparel, Achala Sachdev, Damyanti Puri, Lalit Tiwari, Hemlata Deepak, Mohit Kumar, Mansoor Merchant, Govind Khatri, Rajesh Bhatija","switzerland, india, trip, arranged marriage, family relationships, father dislikes daughter's boyfriend, nri, wedding, britain, domineering father, train, patriarchy, mandolin, tradition, one last fling, feminism, cow bell, cognac, local blockbuster, evergreen, bollywood musical, famous line, record holder, desi, dove, mustard, college student"
Kal Ho Naa Ho,7.9,"Comedy, Drama, Musical","Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Irani, Rani Mukerji, Athit Naik, Jhanak Shukla, Sonali Bendre, Satish Shah, Sulabha Arya, Rajpal Naurang Yadav, Ketki Dave, Kamini Khanna, Simone Singh","homosexual overtones, gay joke, neighbor, reverse footage, breaking the fourth wall, self narration, mother daughter relationship, joy of life, dysfunctional family, tragic ending, gay slur, melodrama, fast motion scene, restaurant, new york, flowerpot, toothbrush, snow, punjabi, meaning of life, marriage proposal, love triangle, jogging, indian food, family discord, falling in love, engagement, engagement ring, emotional depression, dinner table, dinner guest, diary, courtship, brother sister relationship, bhangra, basketball, basketball court, adopted daughter, disco, wedding, indian wedding, terminal illness, heart disease, cancer, title spoken by character"
Gunday,2.6,"Action, Drama, Musical","Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan, Karan Aanand, Victor Banerjee, Prasanjit Chatterjee, Diwakar Dhyani, Darshan Gurjar, Uttam Halder, Susanta Joddar, Jayesh V. Kardak, Elly Meyers, Ajay Pathania, Deepraj Rana, Anant Vidhaat Sharma, Saurabh Shukla, Gautam Siddhartha","timeframe 1970s, coal, 1970s, no title at beginning, gangster, fight on train roof, train robbery, train, two man army, friendship, love triangle"
Bhaag Milkha Bhaag,8.2,"Biography, Drama, Sport","Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra, Yograj Singh, Art Malik, Sonam Kapoor, Saurrabh Agnihotri, Siddharth Bhardwaj, Jass Bhatia, Rebecca Breeds, Divjot Singh Chandhok, Chinmay Chandraunshuh, Chandan Gill, Dev Gill, Shveta Grover, Sumit Gulati, Sanjay Gurbaxani","based on real people, olympics, melbourne 1956 summer olympics, 1960 olympics, reference to rome 1960 summer olympics, asian games, commonwealth games, athletics, life, stadium, year 1956, year 1958, year 1960, 1950s, 1960s, 1940s, year 1947, partition of india, spirit, journey, love, parent, track, refugee camp, gold, sikh, athlete, runner, running, patriotism, ball, boot camp, army, switchblade, first love, train, three word title, repetition in title, based on true story, character name in title"
Kahaani,8.1,"Mystery, Thriller","Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui, Dhritiman Chatterjee, Saswata Chatterjee, Darshan Jariwala, Sk. Azad Ahmed, Masood Akhtar, Mohd. Faiz Alam, Roshni Ali, Anindya Pulak Banerjee, Kamalika Banerjee, Dibyendu Bardhan, Paresh Bhowmick, Pamela Singh Bhutoria, Colleen Blanche, Mita Chakraborty","durga puja festival, missing husband, female protagonist, terrorism, actress shares first name with character, man wears eyeglasses, crying woman, first part, police station, police, twist, f rated, vomiting, investigation, grief, hotel, attempted murder, police officer, computer, school, chase, computer cracker, kolkata india, one word title, subway, pregnancy, surprise ending"
Andhadhun,8.2,"Comedy, Crime, Music","Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan, Manav Vij, Ashwini Kalsekar, Chhaya Kadam, Zakhir Hussain, Rashmi Agdekar, Abhishek Shukla, Mohini Kewalramani, Nikitasha Kapoor, Saumin Patel, Hera Sajid, Abhishek Anand, Vishal Bajaj, Yogesh Chandekar, Rahul Gajjal","blind, neo noir, pianist, murder, blackmail, love, rabbit, hunter, affair, police, star, bar, living alone, pretending to be blind, singer, kiss, policeman, surprise, black glasses, pet, cat, coffee, rickshaw driver, lottery, police station, daughter, funeral, rickshaw, scream, operation, kidney transplant, kidney sell, tattoo, funeral song, blood, shotgun, video clip, evidence, breakup, road, field, hunting, wheelchair, kidnapping, neighbor, husband wife relationship, sex scene, wedding anniversary, surprise ending., trapped in an elevator, blood test, europe, fake blind man, car accident, female antagonist, unfaithful, liar revealed, dead body, bare chested male, male underwear, male female relationship, male female kiss, female villain, fight, elevator, unfaithful wife, smartphone, musician, piano, playing piano, police man, scissor, organ trafficking, evil woman, venom"
Airlift,7.9,"Action, Drama, History","Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi, Inaamulhaq, Lena, Nissar Khan, Ninad Kamat, Kaizaad Kotwal, Feryna Wazheir, Ajay Kumar, Purab Kohli, Gunjan Malhotra, Pooja Nair, Taranjit Kaur, Ajay Arya, Avtar Gill, Pawan Chopra","arab, timeframe 1990s, kuwait, businessman, evacuation, 1990s, historical fiction, tank, military, fistfight, refugee camp, husband wife relationship, airplane, patriotism, based on true story"
Sholay,7.2,Drama,"Ashok Kumar, Bina Rai, Purnima, Manmohan Krishna, Jeevan Dhar, Mirza Musharraf, Master Romi",sorry
Don 2,7.0,"Action, Crime, Thriller","Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas, Boman Irani, Lara Dutta, Kunal Kapoor, Nawab Shah, Alyy Khan, Sahil Shroff, Leonard Benhaus, Hrithik Roshan, Andreas Adam, Marco Ammer, Günter Barton, Sasan Bhaktiari, Hans-Eckart Eckhardt, Hermann Eppert","bad guy wins, surrender, bank, deception, scheme, shootout, hostage, held at gunpoint, shot in the stomach, liar, motorcycle, exploding car, anti hero, brandenburg gate berlin, berlin germany, car chase, prison break, prison, moll, heist, tough guy, numbered sequel, sequel to remake, second part, sequel, revenge, character name in title"
Haider,8.1,"Action, Crime, Drama","Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Narendra Jha, Kulbhushan Kharbanda, Lalit Parimoo, Ashish Vidyarthi, Aamir Bashir, Sumeet Kaul, Rajat Bhagat, Ashwath Bhatt, Irrfan Khan, Anshuman Malhotra, Lankesh Bhardwaj, Javaid Khan, Pankaj Kumar, Bhawani Muzamil","kashmir, disappearance, doctor, shakespeare's hamlet, murder, muslim, attempted murder, terrorism, tragedy, exploding house, premarital sex, grave digger, loss of father, insanity, snow, revenge, modern day adaptation, foreign language adaptation, mother son relationship, character name as title, forename as title, grenade, grave, timeframe 1990s, kiss, skull, shaved head, prisoner, torture, prison, speech, adultery, neo noir, existentialism, resentment, 1990s, based on play, plot twist, widow, faked insanity, nihilism, shakespeare in modern dress"
